Estación,Variable,Mes,Valor
POSADAS AERO,Temperatura mínima (°C),Ene,21.8
POSADAS AERO,Temperatura mínima (°C),Feb,21.3
POSADAS AERO,Temperatura mínima (°C),Mar,20.2
POSADAS AERO,Temperatura mínima (°C),Abr,17.4
POSADAS AERO,Temperatura mínima (°C),May,14
POSADAS AERO,Temperatura mínima (°C),Jun,12.3
POSADAS AERO,Temperatura mínima (°C),Jul,11.6
POSADAS AERO,Temperatura mínima (°C),Ago,13.1
POSADAS AERO,Temperatura mínima (°C),Sep,14.3
POSADAS AERO,Temperatura mínima (°C),Oct,17.1
POSADAS AERO,Temperatura mínima (°C),Nov,18.6
POSADAS AERO,Temperatura mínima (°C),Dic,20.7
POSADAS AERO,Velocidad del Viento (km/h),Ene,9.1
POSADAS AERO,Velocidad del Viento (km/h),Feb,9.1
POSADAS AERO,Velocidad del Viento (km/h),Mar,8.6
POSADAS AERO,Velocidad del Viento (km/h),Abr,8.7
POSADAS AERO,Velocidad del Viento (km/h),May,9
POSADAS AERO,Velocidad del Viento (km/h),Jun,8.9
POSADAS AERO,Velocidad del Viento (km/h),Jul,10.1
POSADAS AERO,Velocidad del Viento (km/h),Ago,10.9
POSADAS AERO,Velocidad del Viento (km/h),Sep,11
POSADAS AERO,Velocidad del Viento (km/h),Oct,11
POSADAS AERO,Velocidad del Viento (km/h),Nov,10.4
POSADAS AERO,Velocidad del Viento (km/h),Dic,9.6
